session_file,session_name,session_date,session_quality,total_nodes,total_edges,processing_time,fvg_events,expansion_events,consolidation_events,retracement_events,reversal_events,fvg_pct,expansion_pct,retracement_pct,reversal_pct,price_volatility,mean_energy,constant_features_filtered
enhanced_rel_MIDNIGHT_Lvl-1_2025_07_28.json,MIDNIGHT,2025-07-28,excellent,24,89,0.01185,4,2,0,0,0,16.666666666666664,8.333333333333332,0.0,0.0,0.3864765539824664,0.0145,22
enhanced_rel_PREMARKET_Lvl-1_2025_08_06.json,PREMARKET,2025-08-06,excellent,33,158,0.013408,0,11,1,5,3,0.0,33.33333333333333,15.151515151515152,9.090909090909092,0.26054353288233345,0.14006,21
enhanced_rel_ASIA_Lvl-1_2025_07_29.json,ASIA,2025-07-29,excellent,31,97,0.011237,8,3,0,0,4,25.806451612903224,9.67741935483871,0.0,12.903225806451612,0.3738755957273402,0.14799999999999996,20
enhanced_rel_LONDON_Lvl-1_2025_08_06.json,LONDON,2025-08-06,excellent,31,107,0.016529,0,9,1,6,1,0.0,29.03225806451613,19.35483870967742,3.225806451612903,0.21031777073353908,0.13961999999999997,21
enhanced_rel_MIDNIGHT_Lvl-1_2025_07_24.json,MIDNIGHT,2025-07-24,excellent,20,70,0.006756,6,0,0,0,0,30.0,0.0,0.0,0.0,0.36211696504929153,0.014500000000000002,21
enhanced_rel_NY_AM_Lvl-1_2025_08_04.json,NY_AM,2025-08-04,excellent,97,512,0.047975,0,38,20,20,0,0.0,39.175257731958766,20.618556701030926,0.0,0.23028098484349724,0.1855,22
enhanced_rel_ASIA_Lvl-1_2025_08_07.json,ASIA,2025-08-07,excellent,50,235,0.020223,0,17,8,11,3,0.0,34.0,22.0,6.0,0.2650976946396831,0.17342,21
enhanced_rel_PREMARKET_Lvl-1_2025_07_28.json,PREMARKET,2025-07-28,excellent,28,106,0.016581,9,2,0,0,3,32.142857142857146,7.142857142857142,0.0,10.714285714285714,0.36826017353344115,0.0745,21
enhanced_rel_NYAM_Lvl-1_2025_08_06.json,NY_AM,2025-08-06,excellent,61,311,0.029248,0,21,1,17,2,0.0,34.42622950819672,27.86885245901639,3.278688524590164,0.28033500700742936,0.13261,21
enhanced_rel_LONDON_Lvl-1_2025_07_28.json,LONDON,2025-07-28,excellent,29,104,0.012359,13,2,0,3,2,44.827586206896555,6.896551724137931,10.344827586206897,6.896551724137931,0.4000861739572203,0.08950000000000001,20
enhanced_rel_LUNCH_Lvl-1_2025_08_05.json,LUNCH,2025-08-05,excellent,41,199,0.024441,0,8,7,6,0,0.0,19.51219512195122,14.634146341463413,0.0,0.26448483205669127,0.024779999999999996,22
enhanced_rel_MIDNIGHT_Lvl-1_2025_08_06.json,MIDNIGHT,2025-08-06,excellent,22,66,0.007655,0,3,2,2,0,0.0,13.636363636363635,9.090909090909092,0.0,0.32564312305777415,0.00986,22
enhanced_rel_PREMARKET_Lvl-1_2025_07_24.json,PREMARKET,2025-07-24,excellent,20,74,0.006929,6,0,0,0,0,30.0,0.0,0.0,0.0,0.3920815051373375,0.0745,23
enhanced_rel_NYAM_Lvl-1_2025_08_07_FRESH.json,NY_AM,2025-08-07,excellent,62,286,0.029664,0,24,17,8,3,0.0,38.70967741935484,12.903225806451612,4.838709677419355,0.27667166488664946,0.13707999999999995,22
enhanced_rel_LONDON_Lvl-1_2025_07_24.json,LONDON,2025-07-24,excellent,20,71,0.007251,6,0,0,0,0,30.0,0.0,0.0,0.0,0.43024776152133914,0.08949999999999998,23
enhanced_rel_LONDON_Lvl-1_2025_07_25.json,LONDON,2025-07-25,excellent,29,150,0.01912,11,2,0,0,3,37.93103448275862,6.896551724137931,0.0,10.344827586206897,0.38068848937521044,0.08950000000000001,20
enhanced_rel_PREMARKET_Lvl-1_2025_07_25.json,PREMARKET,2025-07-25,excellent,28,129,0.010205,6,5,0,3,0,21.428571428571427,17.857142857142858,10.714285714285714,0.0,0.40804270908605,0.0745,20
enhanced_rel_MIDNIGHT_Lvl-1_2025_08_07.json,MIDNIGHT,2025-08-07,excellent,20,54,0.014799,0,5,1,2,1,0.0,25.0,10.0,5.0,0.27897839946565944,0.011890000000000003,22
enhanced_rel_LUNCH_Lvl-1_2025_08_04.json,LUNCH,2025-08-04,excellent,43,169,0.015043,0,15,1,13,1,0.0,34.883720930232556,30.23255813953488,2.3255813953488373,0.2328454983118956,0.09729999999999998,22
enhanced_rel_PREMARKET_Lvl-1_2025_07_29.json,PREMARKET,2025-07-29,excellent,37,150,0.021123,10,5,0,0,1,27.027027027027028,13.513513513513514,0.0,2.7027027027027026,0.3297802931341579,0.0745,20
enhanced_rel_ASIA_Lvl-1_2025_08_06.json,ASIA,2025-08-06,excellent,31,127,0.009931,0,10,2,1,1,0.0,32.25806451612903,3.225806451612903,3.225806451612903,0.33475535093737013,0.18538000000000007,21
enhanced_rel_NY_AM_Lvl-1_2025_08_05.json,NY_AM,2025-08-05,excellent,64,416,0.033588,0,17,13,10,2,0.0,26.5625,15.625,3.125,0.27145903801437765,0.047999999999999994,22
